runnable_processes,blocked_processes,swap_used,free_memory,buffer_memory,page_cache,swap_in,swap_out,blocks_in,blocks_out,interrupts,context_switches,user_cpu,system_cpu,idle_cpu,io_wait,steal_time,guest_time,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7,Principale8,Principale9,Principale10,Principale11,Principale12,Principale13,Principale14,Principale15,Principale16
1,0,338672,2227592,200196,376164,0,0,0,8,628,269,25,1,74,0,0,0,"-0,489691104","1,1610904701","0,9116657196","0,022505639","0,4897441152","-0,747106603","-0,418255066","0,5751316267","0,1829305494","-0,058535567","-0,138155687","-0,332413991","-0,433063156","0,240524568","0,1835362132","-0,0749985"
1,0,338672,1471924,200196,376172,0,0,0,0,427,253,24,1,75,0,0,0,"-1,035919743","0,2346105116","1,1081256037","-0,833780805","0,0795101565","0,0569484336","0,1483288956","0,3108410731","0,1407248559","-0,231929155","-0,397435971","-0,035613571","0,1111232957","-0,197119845","-0,013058797","0,029597874"
1,0,338672,718368,200196,376172,0,0,0,2,421,228,24,1,75,0,0,0,"-1,097555117","0,1895670416","1,2195909156","-1,340278871","-0,418506133","0,8171689959","-0,01758276","0,2340030623","0,219610243","-0,26880714","-0,399464618","-0,051485469","0,0127446272","-0,157338866","0,0352932586","-0,033325099"
1,0,338672,2431464,200204,376172,0,0,0,6,435,265,24,1,74,0,0,0,"-0,807413355","0,3423992666","0,9477350487","-0,269344325","0,7724615216","-0,953742439","0,3492883525","0,4093749215","0,032809784","-0,272389715","-0,431998709","0,0993294288","0,0981248543","-0,272912126","0,0579347726","-0,214081639"
1,0,338672,1675524,200212,376164,0,0,0,16,439,310,24,1,75,0,0,0,"-0,940486927","0,2935626","1,1130670651","-0,619285415","0,1784839453","-0,135584087","0,1180318841","0,3508727201","0,1260480756","-0,224700404","-0,407978517","0,0260376883","0,2095382825","-0,288222215","-0,089840571","0,0734936527"
1,0,338672,917652,200212,376164,0,0,0,2,391,220,24,1,75,0,0,0,"-1,144088626","0,1531190988","1,1707293846","-1,249959229","-0,263998735","0,6085000739","0,0854566518","0,2491070801","0,2722213827","-0,306520117","-0,463177646","-0,044764007","0,0271587118","-0,159379246","0,0350329149","-0,021793171"
1,0,338672,2630904,200212,376164,0,0,0,0,422,268,24,1,75,0,0,0,"-0,987100697","0,2569493231","0,9283877714","-0,089296009","0,8649611648","-1,119394238","0,4433253825","0,4255012861","0,049371427","-0,193308439","-0,410550144","-0,021715917","0,2147676576","-0,23151053","-0,072001396","0,1152106033"
1,0,338672,1874232,200220,376168,0,0,0,6,405,259,24,1,75,0,0,0,"-1,045468726","0,2153812534","1,0421725896","-0,587377458","0,3602710989","-0,353940088","0,274631572","0,3523656643","0,1647880109","-0,253827349","-0,450265662","-0,013966084","0,1512590005","-0,222097109","-0,041469763","0,0617836885"
1,0,338672,1120552,200220,376168,0,0,0,4,609,211,24,1,75,0,0,0,"-0,827624507","0,3466822258","1,2615180005","-0,928617065","-0,221828325","0,4303552045","-0,171538848","0,2899156388","-0,282426554","0,0563718131","0,0697215622","-0,14958467","-0,134185704","-0,066334446","0,0251945596","-0,030564697"
1,0,338672,2751248,200220,376168,0,0,0,0,667,249,25,1,74,0,0,0,"-0,441893273","1,1901380277","0,8393939518","0,3615040504","0,8415419148","-1,279039775","-0,312894039","0,6218418593","0,0252074833","0,0357229896","-0,023789459","-0,376081895","-0,458483842","0,2839283369","0,1894569828","-0,054122976"
1,0,338672,2061608,200228,376160,0,0,0,12,665,235,24,1,75,0,0,0,"-0,682722461","0,4235578027","1,1606164077","-0,249114552","0,3803941992","-0,513669635","-0,037139241","0,3955843454","-0,493213382","0,1786336499","0,1941967195","-0,147020676","-0,08024103","-0,093068693","-0,045599253","0,0406842163"
1,0,338672,1297736,200228,376168,0,0,0,2,677,250,24,1,75,0,0,0,"-0,680069217","0,4641356533","1,2768130686","-0,715065452","-0,154495632","0,2680955237","-0,25792194","0,3192759227","-0,4535733","0,1647028005","0,2070882732","-0,148101376","-0,081374334","-0,09905827","-0,011976265","-0,003322358"
